Date:  13:14, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Displacement1
Plot step: 16   time : 83.9512 Microseconds
Result Type: URES 


Node  ,Value (in)  ,X (in)  ,Y (in)  ,Z (in)
598  ,1.444e-01   ,0.35927  ,2.5  ,4.9
599  ,1.507e-01   ,0.16218  ,2.5  ,4.9
600  ,1.568e-01   ,-0.034907  ,2.5  ,4.9
601  ,1.626e-01   ,-0.232  ,2.5  ,4.9
602  ,1.684e-01   ,-0.42909  ,2.5  ,4.9
603  ,1.741e-01   ,-0.62618  ,2.5  ,4.9
604  ,1.805e-01   ,-0.82327  ,2.5  ,4.9
605  ,1.873e-01   ,-1.0204  ,2.5  ,4.9
606  ,1.937e-01   ,-1.2175  ,2.5  ,4.9
607  ,1.998e-01   ,-1.4145  ,2.5  ,4.9
608  ,2.057e-01   ,-1.6116  ,2.5  ,4.9
609  ,2.110e-01   ,-1.8087  ,2.5  ,4.9
610  ,2.160e-01   ,-2.0058  ,2.5  ,4.9
611  ,2.204e-01   ,-2.2029  ,2.5  ,4.9
612  ,3.530e-02   ,2.2665  ,2.5  ,4.7665
613  ,6.249e-02   ,2.4  ,2.5  ,4.436
614  ,7.975e-02   ,2.4  ,2.5  ,4.2389
615  ,9.341e-02   ,2.4  ,2.5  ,4.0418
616  ,1.051e-01   ,2.4  ,2.5  ,3.8447
617  ,1.150e-01   ,2.4  ,2.5  ,3.6476
618  ,1.229e-01   ,2.4  ,2.5  ,3.4505
619  ,1.299e-01   ,2.4  ,2.5  ,3.2535
620  ,1.367e-01   ,2.4  ,2.5  ,3.0564
621  ,1.432e-01   ,2.4  ,2.5  ,2.8593
622  ,1.496e-01   ,2.4  ,2.5  ,2.6622
623  ,1.556e-01   ,2.4  ,2.5  ,2.4651
624  ,1.617e-01   ,2.4  ,2.5  ,2.268
625  ,1.677e-01   ,2.4  ,2.5  ,2.0709
626  ,1.738e-01   ,2.4  ,2.5  ,1.8738
627  ,1.801e-01   ,2.4  ,2.5  ,1.6767
628  ,1.869e-01   ,2.4  ,2.5  ,1.4796
629  ,1.933e-01   ,2.4  ,2.5  ,1.2825
630  ,1.991e-01   ,2.4  ,2.5  ,1.0855
631  ,2.046e-01   ,2.4  ,2.5  ,0.88836
632  ,2.101e-01   ,2.4  ,2.5  ,0.69127
633  ,2.153e-01   ,2.4  ,2.5  ,0.49418
634  ,2.200e-01   ,2.4  ,2.5  ,0.29709
796  ,2.071e-01   ,-2.5  ,2.2  ,0.1
797  ,2.131e-01   ,-2.5  ,2  ,0.1
798  ,2.191e-01   ,-2.5  ,1.8  ,0.1
799  ,2.247e-01   ,-2.5  ,1.6  ,0.1
800  ,2.300e-01   ,-2.5  ,1.4  ,0.1
801  ,2.349e-01   ,-2.5  ,1.2  ,0.1
802  ,2.394e-01   ,-2.5  ,1  ,0.1
803  ,2.435e-01   ,-2.5  ,0.8  ,0.1
