Date:  12:50, Monday, July 10, 2023
Model name: Hollow_DropBox
Study name: DropTest_300fts(-Default-)
Plot type:  Stress1
Plot step: 6   time : 31.4708 Microseconds
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (in)  ,Y (in)  ,Z (in)
300  ,2.232e+08   ,2.5  ,-1.0204  ,4.9
301  ,2.814e+08   ,2.5  ,-0.82327  ,4.9
302  ,5.824e+08   ,2.5  ,-0.62618  ,4.9
303  ,8.682e+08   ,2.5  ,-0.42909  ,4.9
304  ,8.122e+08   ,2.5  ,-0.232  ,4.9
305  ,8.466e+08   ,2.5  ,-0.034907  ,4.9
306  ,1.134e+09   ,2.5  ,0.16218  ,4.9
307  ,1.290e+09   ,2.5  ,0.35927  ,4.9
308  ,1.918e+09   ,2.5  ,0.55637  ,4.9
309  ,2.494e+09   ,2.5  ,0.75346  ,4.9
310  ,2.278e+09   ,2.5  ,0.95055  ,4.9
311  ,2.505e+09   ,2.5  ,1.1476  ,4.9
312  ,2.949e+09   ,2.5  ,1.3447  ,4.9
313  ,4.125e+09   ,2.5  ,1.5418  ,4.9
314  ,6.602e+09   ,2.5  ,1.7389  ,4.9
315  ,1.056e+10   ,2.5  ,1.936  ,4.9
316  ,1.006e+08   ,2.5  ,-2.4  ,4.7
317  ,2.963e+08   ,2.5  ,-2.4  ,4.5
318  ,3.728e+08   ,2.5  ,-2.4  ,4.3
319  ,2.644e+08   ,2.5  ,-2.4  ,4.1
320  ,2.185e+08   ,2.5  ,-2.4  ,3.9
321  ,3.441e+08   ,2.5  ,-2.4  ,3.7
322  ,4.115e+08   ,2.5  ,-2.4  ,3.5
323  ,3.839e+08   ,2.5  ,-2.4  ,3.3
324  ,3.150e+08   ,2.5  ,-2.4  ,3.1
325  ,2.783e+08   ,2.5  ,-2.4  ,2.9
326  ,2.151e+08   ,2.5  ,-2.4  ,2.7
327  ,1.501e+08   ,2.5  ,-2.4  ,2.5
328  ,1.418e+08   ,2.5  ,-2.4  ,2.3
329  ,2.151e+08   ,2.5  ,-2.4  ,2.1
330  ,2.708e+08   ,2.5  ,-2.4  ,1.9
331  ,3.270e+08   ,2.5  ,-2.4  ,1.7
332  ,3.584e+08   ,2.5  ,-2.4  ,1.5
333  ,4.139e+08   ,2.5  ,-2.4  ,1.3
334  ,3.973e+08   ,2.5  ,-2.4  ,1.1
335  ,3.490e+08   ,2.5  ,-2.4  ,0.9
336  ,2.866e+08   ,2.5  ,-2.4  ,0.7
